1539.8	-37.055	-37.009	-37.193	-37.426	-36.986	-37.027
1539.81	-37.043	-37.007	-37.168	-37.428	-37.015	-37.031
1539.82	-37.026	-37.008	-37.143	-37.429	-37.052	-37.025
1539.83	-37	-37.012	-37.102	-37.415	-37.08	-37.013
1539.84	-36.968	-37.017	-37.072	-37.391	-37.129	-36.999
1539.85	-36.946	-37.022	-37.042	-37.362	-37.172	-36.977
1539.86	-36.931	-37.023	-37.02	-37.335	-37.205	-36.957
1539.87	-36.919	-37.018	-36.998	-37.3	-37.238	-36.936
1539.88	-36.92	-37.01	-36.981	-37.273	-37.274	-36.917
1539.89	-36.924	-36.999	-36.968	-37.246	-37.3	-36.904
1539.9	-36.945	-36.989	-36.957	-37.216	-37.331	-36.9
1539.91	-36.971	-36.968	-36.954	-37.189	-37.356	-36.902
1539.92	-37.009	-36.948	-36.954	-37.161	-37.369	-36.915
1539.93	-37.062	-36.925	-36.96	-37.118	-37.373	-36.936
1539.94	-37.111	-36.9	-36.966	-37.09	-37.372	-36.97
1539.95	-37.148	-36.893	-36.966	-37.065	-37.363	-36.991
1539.96	-37.197	-36.886	-36.967	-37.033	-37.345	-37.023
1539.97	-37.242	-36.887	-36.972	-37.01	-37.322	-37.071
1539.98	-37.277	-36.898	-36.975	-36.987	-37.289	-37.108
1539.99	-37.317	-36.919	-36.967	-36.96	-37.263	-37.144
1540	-37.353	-36.952	-36.961	-36.944	-37.229	-37.187
1540.01	-37.376	-36.993	-36.95	-36.927	-37.193	-37.218
1540.02	-37.396	-37.047	-36.925	-36.908	-37.164	-37.249
1540.03	-37.401	-37.108	-36.91	-36.904	-37.132	-37.277
1540.04	-37.399	-37.145	-36.89	-36.9	-37.096	-37.289
1540.05	-37.387	-37.182	-36.864	-36.9	-37.066	-37.299
1540.06	-37.37	-37.232	-36.843	-36.899	-37.041	-37.305
1540.07	-37.354	-37.266	-36.832	-36.905	-37.005	-37.296
1540.08	-37.319	-37.295	-36.821	-36.913	-36.978	-37.286
1540.09	-37.288	-37.321	-36.824	-36.91	-36.955	-37.271
1540.1	-37.257	-37.34	-36.831	-36.914	-36.931	-37.254
1540.11	-37.21	-37.351	-36.855	-36.911	-36.902	-37.218
1540.12	-37.169	-37.349	-36.893	-36.902	-36.879	-37.191
1540.13	-37.142	-37.341	-36.918	-36.894	-36.862	-37.153
1540.14	-37.105	-37.33	-36.959	-36.878	-36.843	-37.117
1540.15	-37.062	-37.314	-37.015	-36.854	-36.829	-37.084
1540.16	-37.03	-37.288	-37.069	-36.831	-36.825	-37.047
1540.17	-37.001	-37.253	-37.113	-36.811	-36.822	-37.016
1540.18	-36.962	-37.225	-37.161	-36.788	-36.828	-36.989
1540.19	-36.933	-37.188	-37.205	-36.775	-36.835	-36.962
1540.2	-36.911	-37.14	-37.235	-36.762	-36.838	-36.927
1540.21	-36.885	-37.105	-37.264	-36.762	-36.847	-36.9
1540.22	-36.87	-37.071	-37.275	-36.768	-36.846	-36.877
1540.23	-36.865	-37.026	-37.281	-36.781	-36.842	-36.848
1540.24	-36.855	-36.985	-37.276	-36.802	-36.834	-36.82
1540.25	-36.849	-36.945	-37.262	-36.832	-36.82	-36.796
1540.26	-36.842	-36.9	-37.249	-36.867	-36.796	-36.771
1540.27	-36.84	-36.871	-37.227	-36.915	-36.777	-36.754
1540.28	-36.835	-36.845	-37.201	-36.955	-36.754	-36.739
1540.29	-36.827	-36.824	-37.172	-37.006	-36.719	-36.724
1540.3	-36.819	-36.813	-37.135	-37.058	-36.698	-36.72
1540.31	-36.804	-36.813	-37.104	-37.094	-36.685	-36.727
1540.32	-36.783	-36.811	-37.078	-37.134	-36.677	-36.734
1540.33	-36.753	-36.807	-37.038	-37.168	-36.675	-36.743
1540.34	-36.729	-36.808	-36.995	-37.194	-36.678	-36.75
1540.35	-36.701	-36.803	-36.963	-37.205	-36.695	-36.754
1540.36	-36.679	-36.799	-36.926	-37.211	-36.713	-36.756
