1550	-43.026	-43.064	-43.163	-43.182	-43.049	-43.322	-43.249	-43.25
1550.01	-43.02	-43.063	-43.166	-43.154	-43.077	-43.341	-43.215	-43.315
1550.02	-43.012	-43.065	-43.156	-43.13	-43.096	-43.342	-43.181	-43.349
1550.03	-43.005	-43.06	-43.145	-43.105	-43.115	-43.33	-43.159	-43.368
1550.04	-42.992	-43.058	-43.125	-43.075	-43.133	-43.311	-43.135	-43.38
1550.05	-42.984	-43.058	-43.111	-43.055	-43.153	-43.289	-43.119	-43.387
1550.06	-42.982	-43.062	-43.103	-43.048	-43.179	-43.268	-43.108	-43.389
1550.07	-42.985	-43.071	-43.103	-43.048	-43.213	-43.248	-43.109	-43.383
1550.08	-42.989	-43.08	-43.103	-43.059	-43.246	-43.228	-43.114	-43.365
1550.09	-42.992	-43.085	-43.108	-43.069	-43.269	-43.211	-43.111	-43.341
1550.1	-42.985	-43.077	-43.103	-43.078	-43.276	-43.185	-43.103	-43.314
1550.11	-42.969	-43.06	-43.086	-43.081	-43.268	-43.147	-43.08	-43.275
1550.12	-42.943	-43.032	-43.065	-43.079	-43.242	-43.1	-43.052	-43.231
1550.13	-42.915	-43.001	-43.047	-43.073	-43.212	-43.048	-43.011	-43.186
1550.14	-42.889	-42.974	-43.027	-43.073	-43.178	-43.004	-42.974	-43.145
1550.15	-42.872	-42.952	-43.012	-43.083	-43.143	-42.967	-42.95	-43.103
1550.16	-42.862	-42.944	-43.013	-43.101	-43.121	-42.96	-42.94	-43.077
1550.17	-42.87	-42.944	-43.019	-43.114	-43.107	-42.97	-42.956	-43.071
1550.18	-42.882	-42.955	-43.032	-43.138	-43.104	-43.004	-42.991	-43.069
1550.19	-42.901	-42.971	-43.05	-43.157	-43.1	-43.044	-43.051	-43.074
1550.2	-42.923	-42.988	-43.066	-43.174	-43.106	-43.09	-43.131	-43.08
1550.21	-42.941	-43	-43.08	-43.184	-43.108	-43.141	-43.213	-43.084
1550.22	-42.954	-43.004	-43.086	-43.179	-43.105	-43.182	-43.286	-43.083
1550.23	-42.947	-42.988	-43.07	-43.163	-43.09	-43.21	-43.332	-43.062
1550.24	-42.929	-42.971	-43.049	-43.134	-43.07	-43.218	-43.339	-43.038
1550.25	-42.91	-42.942	-43.025	-43.099	-43.052	-43.218	-43.339	-43.01
1550.26	-42.894	-42.92	-43.001	-43.077	-43.043	-43.219	-43.321	-42.992
1550.27	-42.887	-42.909	-42.988	-43.063	-43.048	-43.227	-43.291	-42.993
1550.28	-42.885	-42.905	-42.981	-43.062	-43.066	-43.236	-43.269	-43.007
1550.29	-42.895	-42.911	-42.983	-43.068	-43.095	-43.249	-43.251	-43.05
1550.3	-42.904	-42.918	-42.991	-43.081	-43.129	-43.258	-43.238	-43.093
1550.31	-42.909	-42.922	-42.987	-43.091	-43.153	-43.257	-43.226	-43.131
1550.32	-42.92	-42.925	-42.991	-43.098	-43.173	-43.25	-43.211	-43.175
1550.33	-42.924	-42.925	-42.982	-43.101	-43.191	-43.238	-43.19	-43.213
1550.34	-42.917	-42.922	-42.973	-43.097	-43.196	-43.216	-43.167	-43.245
